Date,away_team,away_score,home_team,home_score,innings
2/14/2025,"Gonzaga
 Bulldogs",6,"UC Davis
 Aggies",1,9
2/14/2025,"Utah Valley
 Wolverines",2,"UC Riverside
 Highlanders",3,9
2/14/2025,"Cal Poly
 Mustangs",2,"UCLA
 Bruins",3,9
2/14/2025,"Lamar
 Cardinals",17,"CS Bakersfield
 Roadrunners",1,9
2/14/2025,"Campbell
 Camels",1,"UC Santa Barbara
 Gauchos",6,9
2/14/2025,"Marshall
 Thundering Herd",8,"Hawaii
 Rainbow Warriors",9,9
2/14/2025,"UC San Diego
 Tritons",1,"Pacific
 Tigers",2,9
2/14/2025,"CS Northridge
 Matadors",4,"Santa Clara
 Broncos",5,9
2/14/2025,"Northwestern
 Wildcats",6,"Long Beach St
 49ers",19,9
2/14/2025,"Nebraska
 Cornhuskers",5,"UC Irvine
 Anteaters",10,9
2/15/2025,"Stanford
 Cardinal",13,"CS Fullerton
 Titans",1,9
2/15/2025,"Gonzaga
 Bulldogs",1,"UC Davis
 Aggies",3,9
2/15/2025,"Utah Valley
 Wolverines",11,"UC Riverside
 Highlanders",6,9
2/15/2025,"Cal Poly
 Mustangs",2,"UCLA
 Bruins",18,9
2/15/2025,"Lamar
 Cardinals",1,"CS Bakersfield
 Roadrunners",8,9
2/15/2025,"Campbell
 Camels",2,"UC Santa Barbara
 Gauchos",7,9
2/15/2025,"Marshall
 Thundering Herd",2,"Hawaii
 Rainbow Warriors",6,9
2/15/2025,"Marshall
 Thundering Herd",6,"Hawaii
 Rainbow Warriors",7,9
2/15/2025,"UC San Diego
 Tritons",11,"Pacific
 Tigers",4,9
2/15/2025,"CS Northridge
 Matadors",11,"Santa Clara
 Broncos",9,9
2/15/2025,"Northwestern
 Wildcats",6,"Long Beach St
 49ers",2,9
2/15/2025,"New Mexico
 Lobos",4,"UC Irvine
 Anteaters",18,9
2/15/2025,"Stanford
 Cardinal",6,"CS Fullerton
 Titans",3,9
2/16/2025,"Stanford
 Cardinal",14,"CS Fullerton
 Titans",11,9
2/16/2025,"Gonzaga
 Bulldogs",1,"UC Davis
 Aggies",5,9
2/16/2025,"Utah Valley
 Wolverines",6,"UC Riverside
 Highlanders",7,9
2/16/2025,"Cal Poly
 Mustangs",0,"UCLA
 Bruins",16,9
2/16/2025,"Lamar
 Cardinals",13,"CS Bakersfield
 Roadrunners",3,9
2/16/2025,"Campbell
 Camels",4,"UC Santa Barbara
 Gauchos",14,9
2/16/2025,"Marshall
 Thundering Herd",2,"Hawaii
 Rainbow Warriors",10,9
2/16/2025,"UC San Diego
 Tritons",3,"Pacific
 Tigers",6,9
2/16/2025,"CS Northridge
 Matadors",3,"Santa Clara
 Broncos",8,9
2/16/2025,"UC Irvine
 Anteaters",8,"Vanderbilt
 Commodores",9,9
2/16/2025,"Northwestern
 Wildcats",4,"Long Beach St
 49ers",3,9
2/17/2025,"Stanford
 Cardinal",9,"CS Fullerton
 Titans",7,9
2/17/2025,"Utah Valley
 Wolverines",10,"UC Riverside
 Highlanders",7,9
2/17/2025,"Cal Poly
 Mustangs",9,"Loy Marymount
 Lions",1,9
2/18/2025,"USC
 Trojans",5,"UC Irvine
 Anteaters",2,9
2/18/2025,"Long Beach St
 49ers",4,"Loy Marymount
 Lions",7,9
2/18/2025,"Pacific
 Tigers",7,"UC Davis
 Aggies",11,9
2/18/2025,"St Mary's CA
 Gaels",5,"UC Santa Barbara
 Gauchos",1,9
2/18/2025,"San Diego St
 Aztecs",10,"UC San Diego
 Tritons",7,9
2/19/2025,"CS Bakersfield
 Roadrunners",0,"USC
 Trojans",7,9
2/20/2025,"Wichita St
 Shockers",3,"Hawaii
 Rainbow Warriors",4,9
2/20/2025,"BYU
 Cougars",19,"CS Northridge
 Matadors",3,9
2/21/2025,"CS Fullerton
 Titans",4,"Fresno St
 Bulldogs",7,9
2/21/2025,"UC Riverside
 Highlanders",3,"Utah Tech
 Rebels",12,9
2/21/2025,"UC Irvine
 Anteaters",6,"Texas Tech
 Red Raiders",4,9
2/21/2025,"Wichita St
 Shockers",11,"Hawaii
 Rainbow Warriors",4,9
2/21/2025,"Cal Baptist
 Lancers",3,"Long Beach St
 49ers",10,9
2/21/2025,"Cal Poly
 Mustangs",1,"Texas A&M
 Aggies",6,9
2/21/2025,"CS Bakersfield
 Roadrunners",4,"Nevada
 Wolf Pack",7,9
2/21/2025,"Pepperdine
 Waves",1,"UC San Diego
 Tritons",18,9
2/21/2025,"Santa Clara
 Broncos",0,"UC Davis
 Aggies",14,9
2/21/2025,"Seattle
 RedHawks",3,"UC Santa Barbara
 Gauchos",9,9
2/21/2025,"BYU
 Cougars",7,"CS Northridge
 Matadors",3,9
2/22/2025,"CS Fullerton
 Titans",14,"Fresno St
 Bulldogs",3,9
2/22/2025,"UC Riverside
 Highlanders",5,"Utah Tech
 Rebels",4,9
2/22/2025,"UC Riverside
 Highlanders",8,"Utah Tech
 Rebels",6,9
2/22/2025,"UC Irvine
 Anteaters",12,"Texas Tech
 Red Raiders",15,9
2/22/2025,"Wichita St
 Shockers",2,"Hawaii
 Rainbow Warriors",4,9
2/22/2025,"Cal Baptist
 Lancers",8,"UC San Diego
 Tritons",9,9
2/22/2025,"Cal Poly
 Mustangs",3,"Texas A&M
 Aggies",4,9
2/22/2025,"CS Bakersfield
 Roadrunners",16,"Nevada
 Wolf Pack",2,9
2/22/2025,"Long Beach St
 49ers",3,"Pepperdine
 Waves",2,9
2/22/2025,"Santa Clara
 Broncos",7,"UC Davis
 Aggies",5,9
2/22/2025,"UC Santa Barbara
 Gauchos",7,"San Diego St
 Aztecs",5,9
2/22/2025,"BYU
 Cougars",4,"CS Northridge
 Matadors",9,9
2/23/2025,"CS Fullerton
 Titans",7,"Fresno St
 Bulldogs",13,9
2/23/2025,"UC Riverside
 Highlanders",4,"Utah Tech
 Rebels",0,9
2/23/2025,"UC Irvine
 Anteaters",11,"Texas Tech
 Red Raiders",10,9
2/23/2025,"Utah
 Utes",8,"UC San Diego
 Tritons",9,9
2/23/2025,"Wichita St
 Shockers",1,"Hawaii
 Rainbow Warriors",7,9
2/23/2025,"Cal Baptist
 Lancers",3,"UC Santa Barbara
 Gauchos",6,9
2/23/2025,"Cal Poly
 Mustangs",3,"Texas A&M
 Aggies",2,9
2/23/2025,"CS Bakersfield
 Roadrunners",4,"Nevada
 Wolf Pack",12,9
2/23/2025,"Santa Clara
 Broncos",2,"UC Davis
 Aggies",6,9
2/23/2025,"Long Beach St
 49ers",15,"Seattle
 RedHawks",7,9
2/24/2025,"Long Beach St
 49ers",1,"Utah
 Utes",9,9
2/24/2025,"CS Bakersfield
 Roadrunners",4,"Nevada
 Wolf Pack",7,9
2/25/2025,"USC
 Trojans",5,"CS Fullerton
 Titans",3,9
2/25/2025,"UC Davis
 Aggies",14,"Pacific
 Tigers",3,9
2/25/2025,"UC Santa Barbara
 Gauchos",13,"Pepperdine
 Waves",2,9
2/26/2025,"Utah Tech
 Rebels",4,"UC Irvine
 Anteaters",8,9
2/26/2025,"CS Bakersfield
 Roadrunners",5,"California
 Golden Bears",6,9
2/26/2025,"Loy Marymount
 Lions",7,"UC Riverside
 Highlanders",6,9
2/27/2025,"Cincinnati
 Bearcats",3,"UC San Diego
 Tritons",4,9
2/28/2025,"CS Fullerton
 Titans",4,"Wichita St
 Shockers",5,9
2/28/2025,"Cincinnati
 Bearcats",5,"UC San Diego
 Tritons",2,9
2/28/2025,"Northeastern
 Huskies",5,"Hawaii
 Rainbow Warriors",11,9
2/28/2025,"Louisiana
 Ragin' Cajuns",4,"UC Irvine
 Anteaters",7,9
2/28/2025,"CS Bakersfield
 Roadrunners",0,"San Diego
 Toreros",6,9
2/28/2025,"UC Davis
 Aggies",22,"Utah Valley
 Wolverines",7,9
2/28/2025,"Seton Hall
 Pirates",4,"Cal Poly
 Mustangs",18,9
2/28/2025,"Fresno St
 Bulldogs",1,"UC Santa Barbara
 Gauchos",3,9
2/28/2025,"UC Riverside
 Highlanders",3,"Cal Baptist
 Lancers",0,9
2/28/2025,"Michigan
 Wolverines",3,"Long Beach St
 49ers",6,9
2/28/2025,"CS Northridge
 Matadors",0,"Oklahoma
 Sooners",9,9
3/1/2025,"CS Fullerton
 Titans",5,"Wichita St
 Shockers",0,9
3/1/2025,"Cincinnati
 Bearcats",2,"UC San Diego
 Tritons",8,9
3/1/2025,"Northeastern
 Huskies",7,"Hawaii
 Rainbow Warriors",1,9
3/1/2025,"Louisiana
 Ragin' Cajuns",6,"UC Irvine
 Anteaters",9,9
3/1/2025,"CS Bakersfield
 Roadrunners",2,"San Diego
 Toreros",3,9
3/1/2025,"Utah
 Utes",5,"UC Riverside
 Highlanders",10,9
3/1/2025,"UC Davis
 Aggies",6,"Utah Valley
 Wolverines",9,9
3/1/2025,"Seton Hall
 Pirates",12,"Cal Poly
 Mustangs",20,9
3/1/2025,"Seton Hall
 Pirates",4,"Cal Poly
 Mustangs",5,9
3/1/2025,"Fresno St
 Bulldogs",7,"UC Santa Barbara
 Gauchos",8,9
3/1/2025,"UC Davis
 Aggies",3,"Utah Valley
 Wolverines",4,9
3/1/2025,"Michigan
 Wolverines",10,"Long Beach St
 49ers",6,9
3/1/2025,"CS Northridge
 Matadors",2,"Oklahoma
 Sooners",10,9
3/2/2025,"CS Fullerton
 Titans",7,"Wichita St
 Shockers",5,9
3/2/2025,"Cincinnati
 Bearcats",0,"UC San Diego
 Tritons",5,9
3/2/2025,"Northeastern
 Huskies",3,"Hawaii
 Rainbow Warriors",11,9
3/2/2025,"Louisiana
 Ragin' Cajuns",5,"UC Irvine
 Anteaters",12,9
3/2/2025,"CS Bakersfield
 Roadrunners",6,"San Diego
 Toreros",3,9
3/2/2025,"UC Davis
 Aggies",7,"Utah Valley
 Wolverines",5,9
3/2/2025,"Cal Baptist
 Lancers",4,"UC Riverside
 Highlanders",7,9
3/2/2025,"Seton Hall
 Pirates",8,"Cal Poly
 Mustangs",7,9
3/2/2025,"Fresno St
 Bulldogs",2,"UC Santa Barbara
 Gauchos",1,9
3/2/2025,"Utah
 Utes",17,"UC Riverside
 Highlanders",7,9
3/2/2025,"Michigan
 Wolverines",7,"Long Beach St
 49ers",6,9
3/2/2025,"CS Northridge
 Matadors",2,"Oklahoma
 Sooners",3,9
3/3/2025,"Northeastern
 Huskies",2,"Hawaii
 Rainbow Warriors",3,9
3/3/2025,"Tulane
 Green Wave",3,"Long Beach St
 49ers",2,9
3/4/2025,"San Diego St
 Aztecs",1,"CS Fullerton
 Titans",7,9
3/4/2025,"UC Irvine
 Anteaters",12,"San Diego
 Toreros",3,9
3/4/2025,"UC Santa Barbara
 Gauchos",8,"USC
 Trojans",1,9
3/4/2025,"Cal Poly
 Mustangs",7,"Fresno St
 Bulldogs",3,9
3/4/2025,"CS Bakersfield
 Roadrunners",6,"Pacific
 Tigers",0,9
3/4/2025,"San Francisco
 Dons",2,"UC Davis
 Aggies",1,9
3/4/2025,"UC San Diego
 Tritons",11,"Texas Tech
 Red Raiders",10,9
3/5/2025,"UC San Diego
 Tritons",1,"Texas Tech
 Red Raiders",13,9
3/7/2025,"CS Fullerton
 Titans",9,"Cal Poly
 Mustangs",10,9
3/7/2025,"Long Beach St
 49ers",10,"UC Irvine
 Anteaters",8,9
3/7/2025,"CS Bakersfield
 Roadrunners",1,"UC San Diego
 Tritons",9,9
3/7/2025,"Hawaii
 Rainbow Warriors",17,"UC Riverside
 Highlanders",5,9
3/7/2025,"CS Northridge
 Matadors",3,"UC Santa Barbara
 Gauchos",4,9
3/8/2025,"CS Fullerton
 Titans",8,"Cal Poly
 Mustangs",11,9
3/8/2025,"Long Beach St
 49ers",6,"UC Irvine
 Anteaters",8,9
3/8/2025,"CS Bakersfield
 Roadrunners",10,"UC San Diego
 Tritons",3,9
3/8/2025,"Hawaii
 Rainbow Warriors",3,"UC Riverside
 Highlanders",4,9
3/8/2025,"CS Northridge
 Matadors",9,"UC Santa Barbara
 Gauchos",11,9
3/9/2025,"CS Fullerton
 Titans",4,"Cal Poly
 Mustangs",10,9
3/9/2025,"UC Davis
 Aggies",3,"Creighton
 Bluejays",9,9
3/9/2025,"Long Beach St
 49ers",1,"UC Irvine
 Anteaters",10,9
3/9/2025,"CS Bakersfield
 Roadrunners",11,"UC San Diego
 Tritons",7,9
3/9/2025,"Hawaii
 Rainbow Warriors",4,"UC Riverside
 Highlanders",7,9
3/9/2025,"CS Northridge
 Matadors",9,"UC Santa Barbara
 Gauchos",10,9
3/9/2025,"UC Davis
 Aggies",0,"Creighton
 Bluejays",4,9
3/11/2025,"USC
 Trojans",6,"CS Fullerton
 Titans",11,9
3/11/2025,"UC Irvine
 Anteaters",4,"UCLA
 Bruins",11,9
3/11/2025,"San Diego
 Toreros",4,"UC Santa Barbara
 Gauchos",8,9
3/11/2025,"Cal Poly
 Mustangs",18,"San Jose St
 Spartans",4,9
3/11/2025,"Pacific
 Tigers",5,"CS Bakersfield
 Roadrunners",6,9
3/11/2025,"CS Northridge
 Matadors",1,"Loy Marymount
 Lions",7,9
3/11/2025,"Pepperdine
 Waves",6,"Long Beach St
 49ers",5,9
3/11/2025,"UC Riverside
 Highlanders",4,"UNLV
 Runnin' Rebels",10,9
3/11/2025,"Chaminade
 Silverswords",4,"Hawaii
 Rainbow Warriors",9,9
3/12/2025,"Pacific
 Tigers",11,"CS Bakersfield
 Roadrunners",10,9
3/12/2025,"San Francisco
 Dons",16,"UC Riverside
 Highlanders",1,9
3/13/2025,"CS Bakersfield
 Roadrunners",4,"Utah Tech
 Rebels",10,9
3/14/2025,"UC San Diego
 Tritons",9,"CS Fullerton
 Titans",7,9
3/14/2025,"CS Bakersfield
 Roadrunners",1,"Utah Tech
 Rebels",6,9
3/14/2025,"Cal Poly
 Mustangs",3,"Long Beach St
 49ers",1,9
3/14/2025,"UC Santa Barbara
 Gauchos",2,"Hawaii
 Rainbow Warriors",1,9
3/14/2025,"UC Riverside
 Highlanders",3,"UC Davis
 Aggies",9,9
3/15/2025,"UC San Diego
 Tritons",9,"CS Fullerton
 Titans",5,9
3/15/2025,"CS Bakersfield
 Roadrunners",8,"Utah Tech
 Rebels",15,9
3/15/2025,"UC Irvine
 Anteaters",11,"CS Northridge
 Matadors",3,9
3/15/2025,"Cal Poly
 Mustangs",9,"Long Beach St
 49ers",1,9
3/15/2025,"UC Santa Barbara
 Gauchos",7,"Hawaii
 Rainbow Warriors",15,9
3/15/2025,"UC Riverside
 Highlanders",2,"UC Davis
 Aggies",10,9
3/15/2025,"UC Irvine
 Anteaters",15,"CS Northridge
 Matadors",2,9
3/16/2025,"UC San Diego
 Tritons",5,"CS Fullerton
 Titans",12,9
3/16/2025,"CS Bakersfield
 Roadrunners",7,"Utah Tech
 Rebels",11,9
3/16/2025,"UC Irvine
 Anteaters",6,"CS Northridge
 Matadors",2,9
3/16/2025,"Cal Poly
 Mustangs",9,"Long Beach St
 49ers",0,9
3/16/2025,"UC Santa Barbara
 Gauchos",0,"Hawaii
 Rainbow Warriors",1,9
3/16/2025,"UC Riverside
 Highlanders",1,"UC Davis
 Aggies",7,9
3/18/2025,"UNLV
 Runnin' Rebels",0,"CS Fullerton
 Titans",4,9
3/18/2025,"Fresno St
 Bulldogs",17,"CS Bakersfield
 Roadrunners",8,9
3/18/2025,"Columbia
 Lions",2,"CS Northridge
 Matadors",12,9
3/18/2025,"Loy Marymount
 Lions",6,"Long Beach St
 49ers",9,9
3/21/2025,"CS Fullerton
 Titans",12,"UC Riverside
 Highlanders",1,9
3/21/2025,"UC Irvine
 Anteaters",10,"UC Santa Barbara
 Gauchos",0,9
3/21/2025,"Oregon St
 Beavers",4,"Cal Poly
 Mustangs",1,9
3/21/2025,"CS Northridge
 Matadors",7,"CS Bakersfield
 Roadrunners",11,9
3/21/2025,"Long Beach St
 49ers",4,"UC San Diego
 Tritons",7,9
3/22/2025,"CS Fullerton
 Titans",18,"UC Riverside
 Highlanders",3,9
3/22/2025,"UC Irvine
 Anteaters",9,"UC Santa Barbara
 Gauchos",3,9
3/22/2025,"Oregon St
 Beavers",6,"Cal Poly
 Mustangs",7,9
3/22/2025,"CS Northridge
 Matadors",7,"CS Bakersfield
 Roadrunners",4,9
3/22/2025,"UC Davis
 Aggies",2,"Hawaii
 Rainbow Warriors",7,9
3/22/2025,"Long Beach St
 49ers",10,"UC San Diego
 Tritons",13,9
3/23/2025,"CS Fullerton
 Titans",10,"UC Riverside
 Highlanders",5,9
3/23/2025,"UC Irvine
 Anteaters",9,"UC Santa Barbara
 Gauchos",4,9
3/23/2025,"Oregon St
 Beavers",8,"Cal Poly
 Mustangs",2,9
3/23/2025,"CS Northridge
 Matadors",10,"CS Bakersfield
 Roadrunners",9,9
3/23/2025,"UC Davis
 Aggies",0,"Hawaii
 Rainbow Warriors",16,9
3/23/2025,"Long Beach St
 49ers",10,"UC San Diego
 Tritons",0,9
3/24/2025,"UC Davis
 Aggies",1,"Hawaii
 Rainbow Warriors",2,9
3/25/2025,"San Diego
 Toreros",2,"CS Fullerton
 Titans",6,9
3/25/2025,"UC Irvine
 Anteaters",12,"USC
 Trojans",9,9
3/25/2025,"UC San Diego
 Tritons",6,"Cal Baptist
 Lancers",10,9
3/25/2025,"Cal Poly
 Mustangs",10,"Pepperdine
 Waves",2,9
3/25/2025,"Hawaii Hilo
 Vulcans",8,"Hawaii
 Rainbow Warriors",9,9
3/25/2025,"UC Santa Barbara
 Gauchos",7,"St Mary's CA
 Gaels",2,9
3/25/2025,"UC Riverside
 Highlanders",7,"San Diego St
 Aztecs",2,9
3/26/2025,"Nevada
 Wolf Pack",1,"UC Davis
 Aggies",3,9
3/27/2025,"UC San Diego
 Tritons",5,"Santa Clara
 Broncos",10,9
3/28/2025,"CS Bakersfield
 Roadrunners",1,"CS Fullerton
 Titans",8,9
3/28/2025,"UC Riverside
 Highlanders",1,"UC Irvine
 Anteaters",20,9
3/28/2025,"Cal Poly
 Mustangs",4,"UC Davis
 Aggies",2,9
3/28/2025,"Hawaii
 Rainbow Warriors",10,"CS Northridge
 Matadors",15,9
3/28/2025,"UC San Diego
 Tritons",2,"Santa Clara
 Broncos",12,9
3/28/2025,"UC Santa Barbara
 Gauchos",6,"Long Beach St
 49ers",9,9
3/29/2025,"CS Bakersfield
 Roadrunners",1,"CS Fullerton
 Titans",6,9
3/29/2025,"UC Riverside
 Highlanders",8,"UC Irvine
 Anteaters",14,9
3/29/2025,"Cal Poly
 Mustangs",11,"UC Davis
 Aggies",0,9
3/29/2025,"Hawaii
 Rainbow Warriors",9,"CS Northridge
 Matadors",3,9
3/29/2025,"UC San Diego
 Tritons",4,"Santa Clara
 Broncos",5,9
3/29/2025,"UC Santa Barbara
 Gauchos",9,"Long Beach St
 49ers",0,9
3/29/2025,"Cal Poly
 Mustangs",5,"UC Davis
 Aggies",1,9
3/30/2025,"CS Bakersfield
 Roadrunners",6,"CS Fullerton
 Titans",5,9
3/30/2025,"UC Riverside
 Highlanders",4,"UC Irvine
 Anteaters",7,9
3/30/2025,"Hawaii
 Rainbow Warriors",14,"CS Northridge
 Matadors",10,9
3/30/2025,"UC San Diego
 Tritons",5,"Santa Clara
 Broncos",2,9
3/30/2025,"UC Santa Barbara
 Gauchos",4,"Long Beach St
 49ers",5,9
3/31/2025,"Cal Poly
 Mustangs",13,"Fresno St
 Bulldogs",5,9
4/1/2025,"CS Fullerton
 Titans",4,"Arizona St
 Sun Devils",14,9
4/1/2025,"San Diego
 Toreros",7,"UC Irvine
 Anteaters",16,9
4/1/2025,"UC Santa Barbara
 Gauchos",3,"Loy Marymount
 Lions",1,9
4/1/2025,"Hawaii Pacific
 Sea Warriors",8,"Hawaii
 Rainbow Warriors",10,9
4/2/2025,"CS Fullerton
 Titans",4,"Grand Canyon
 Antelopes",2,9
4/2/2025,"CS Northridge
 Matadors",11,"San Francisco
 Dons",2,9
4/2/2025,"UC Davis
 Aggies",12,"Nevada
 Wolf Pack",6,9
4/4/2025,"CS Fullerton
 Titans",16,"CS Northridge
 Matadors",5,9
4/4/2025,"UC Irvine
 Anteaters",12,"Oregon St
 Beavers",0,9
4/4/2025,"UC Riverside
 Highlanders",2,"CS Bakersfield
 Roadrunners",7,9
4/4/2025,"Long Beach St
 49ers",5,"Hawaii
 Rainbow Warriors",10,9
4/4/2025,"UC Davis
 Aggies",1,"UC Santa Barbara
 Gauchos",0,9
4/4/2025,"UC San Diego
 Tritons",6,"Cal Poly
 Mustangs",9,9
4/5/2025,"CS Fullerton
 Titans",9,"CS Northridge
 Matadors",3,9
4/5/2025,"UC Irvine
 Anteaters",2,"Oregon St
 Beavers",4,9
4/5/2025,"UC Riverside
 Highlanders",2,"CS Bakersfield
 Roadrunners",0,9
4/5/2025,"Long Beach St
 49ers",3,"Hawaii
 Rainbow Warriors",2,9
4/5/2025,"UC Davis
 Aggies",0,"UC Santa Barbara
 Gauchos",5,9
4/5/2025,"UC San Diego
 Tritons",3,"Cal Poly
 Mustangs",8,9
4/6/2025,"CS Fullerton
 Titans",10,"CS Northridge
 Matadors",8,9
4/6/2025,"UC Irvine
 Anteaters",4,"Oregon St
 Beavers",7,9
4/6/2025,"UC Riverside
 Highlanders",1,"CS Bakersfield
 Roadrunners",3,9
4/6/2025,"Long Beach St
 49ers",5,"Hawaii
 Rainbow Warriors",4,9
4/6/2025,"UC Davis
 Aggies",2,"UC Santa Barbara
 Gauchos",8,9
4/6/2025,"UC San Diego
 Tritons",11,"Cal Poly
 Mustangs",12,9
4/7/2025,"UC Davis
 Aggies",0,"Stanford
 Cardinal",4,9
4/8/2025,"CS Sacramento
 Hornets",0,"UC Davis
 Aggies",14,9
4/8/2025,"CS Northridge
 Matadors",11,"Arizona St
 Sun Devils",20,9
4/8/2025,"UC San Diego
 Tritons",8,"San Diego
 Toreros",9,9
4/8/2025,"San Jose St
 Spartans",5,"Cal Poly
 Mustangs",8,9
4/8/2025,"Hawaii
 Rainbow Warriors",5,"Santa Clara
 Broncos",3,9
4/8/2025,"Pepperdine
 Waves",4,"UC Santa Barbara
 Gauchos",9,9
4/8/2025,"Long Beach St
 49ers",1,"UCLA
 Bruins",12,9
4/8/2025,"Westcliff
 Warriors",2,"CS Bakersfield
 Roadrunners",10,9
4/8/2025,"Westcliff
 Warriors",5,"CS Bakersfield
 Roadrunners",13,9
4/11/2025,"Oregon St
 Beavers",7,"CS Fullerton
 Titans",3,9
4/11/2025,"UC Irvine
 Anteaters",4,"UC Davis
 Aggies",1,9
4/11/2025,"Hawaii
 Rainbow Warriors",4,"Cal Poly
 Mustangs",2,9
4/11/2025,"CS Bakersfield
 Roadrunners",2,"Long Beach St
 49ers",3,9
4/11/2025,"UC Santa Barbara
 Gauchos",13,"UC Riverside
 Highlanders",4,9
4/11/2025,"CS Northridge
 Matadors",7,"UC San Diego
 Tritons",3,9
