Opponent_Record,Wins,Losses,Location,
25-31,3,0,home,
36-26,0,1,home,
20-32,1,0,neutral,
20-39,1,0,away,
30-27,1,0,neutral,
12-42,1,0,away,
31-29,2,1,home,
37-23,1,0,away,
15-34,3,0,home,
28-30,1,0,home,
35-21,1,2,away,
43-17,0,3,home,
36-26,1,0,away,
22-31,1,2,away,
29-29,1,0,away,
27-28,2,1,home,
12-42,1,0,home,
16-36,3,0,away,
30-27,0,1,away,
43-19,2,1,home,
30-27,1,0,home,
26-25,1,2,away,
28-30,1,0,away,
29-27,1,2,away,
37-23,1,0,home,
29-29,1,0,away,
29-29,2,0,home,
18-38,2,1,home,
35-21,0,1,neutral,