,Pitcher,AutoPitchType,triStuff+,cv_predicted_prob_lgbm,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,VertApprAngle,HorzApprAngle,speed_diff,IVB_diff,HB_diff,pitch_count
0,"Cazares, Julian",Changeup,104.61138137098173,0.2912222222222222,79.19054333333332,1720.8679485555558,5.510238888888889,-1.6194388888888889,4.946773333333334,1.18658,-18.261826666666664,-7.858293333333334,-0.12895244444444443,-9.51347879432624,-17.20184914893617,13.83634134751773,9
1,"Cazares, Julian",Curveball,106.90843887314362,0.357,78.84722333333333,2435.5078455555554,5.696331111111111,0.04553888888888889,5.0533866666666665,-4.282784444444444,5.861437777777778,-8.918686777777777,0.5554451111111111,-9.856798794326236,-22.671213593380614,-10.286923096926715,9
2,"Cazares, Julian",Cutter,94.0521782832782,0.1295625,88.343425,2151.792543375,5.895116875,0.37967625,5.93345375,18.215674375,-5.50649,-5.4635193125,-0.9514274375,-0.3605971276595703,-0.17275477393616856,1.0810046808510634,16
3,"Cazares, Julian",Four-Seam,100.16460431757353,0.22227586206896552,89.2040324137931,2142.5728036551723,5.94020724137931,0.3385796551724138,5.922308620689655,19.077355862068966,-3.954421379310345,-4.786725344827586,-0.5963422413793104,0.5000102861335322,0.688926713132797,-0.47106393983859185,29
4,"Cazares, Julian",Sinker,92.79843721329375,0.114,84.98227,2179.199111,5.81403,-1.63528,4.77341,14.01052,-7.70933,-5.088135,0.188255,-3.7217521276595704,-4.377909148936169,3.283844680851063,1
5,"Cazares, Julian",Slider,101.7176048549865,0.2599411764705883,81.46518588235294,2369.713627764706,5.776007647058823,0.18769117647058822,5.316922941176471,3.0236341176470587,3.202294705882353,-7.609950352941176,0.3007625882352941,-7.238836245306629,-15.36479503128911,-7.62778002503129,17
6,"Dalquist, Matthew",Changeup,109.86349245109189,0.4055434782608696,79.66819891304348,1779.337900652174,5.344139130434782,1.3943380434782608,5.789029782608695,5.419643043478261,14.46957391304348,-7.641345891304348,0.4693224347826087,-9.27918250972076,-14.821267241074585,6.5842434252386,46
7,"Dalquist, Matthew",Curveball,101.97771226913147,0.26828070175438595,75.8654250877193,2474.2038461403513,5.608210877192983,0.9572661403508771,5.124918421052631,-10.125757719298246,-11.059589122807017,-9.52745349122807,-2.125830684210526,-13.08195633504494,-30.366668003851093,-18.944919610611898,57
8,"Dalquist, Matthew",Cutter,101.22773988961148,0.24866666666666667,85.98392666666666,2455.7120993333333,5.600925,0.4117416666666667,5.219501666666667,12.138556666666666,-0.7976983333333333,-6.2883320000000005,-0.6601663333333333,-2.9634547560975713,-8.10235361788618,-8.683028821138212,6
9,"Dalquist, Matthew",Four-Seam,97.4150607651118,0.178746887966805,88.9813896680498,2427.597019821577,5.641258506224067,0.9924236514522822,5.785581867219917,20.403040331950205,8.00991979253112,-4.8257971493775935,-0.3923461701244813,0.034008245285554725,0.16213004739736084,0.12458930472624234,241
10,"Dalquist, Matthew",Sinker,102.32522392753734,0.241,89.7671,2455.364502,5.7941,1.11082,6.38535,14.89418,15.61292,-5.75796,1.721818,0.8197185772357614,-5.346730284552846,7.727589512195123,1
11,"Dalquist, Matthew",Slider,106.92171976782886,0.3428301886792453,82.84298698113209,2467.435180509434,5.581026226415095,1.0142396226415094,5.157400566037735,4.187614150943396,-6.313808018867924,-7.1551160000000005,-2.4000634433962262,-6.104394441632162,-16.05329613360945,-14.199138506672803,106
12,"Davidson, Garrett",Changeup,102.29685110966624,0.259070796460177,77.79319106194691,1552.8261863008852,5.495699292035398,-1.9396233628318582,5.0139296460177,2.8102578761061947,-14.557747256637168,-7.877233672566371,0.4578094778761062,-7.9336800339435145,-12.54169760334586,7.8180312292399075,113
13,"Davidson, Garrett",Curveball,99.89471050495037,0.22024000000000002,73.671836,2405.87905704,5.4871536,-1.7862224,4.2718624,-6.3926156,13.171218799999998,-9.269301480000001,3.22110708,-12.055035095890416,-21.744571079452054,-19.910934827397263,25
14,"Davidson, Garrett",Cutter,91.23247749789955,0.10575,84.46576625,2060.13935925,5.7811325,-1.58615625,4.7173125,11.719115,-1.81622125,-6.218831125,1.871063375,-1.2611048458904168,-3.6328404794520535,-4.923494777397261,16
15,"Davidson, Garrett",Four-Seam,94.67884841829994,0.14223684210526316,86.62589052631579,2170.6180255526315,5.819751315789474,-1.5224071052631578,5.030230789473684,17.224937894736843,-6.48699,-5.436606210526316,0.9902304736842105,0.8990194304253732,1.8729824152847887,-0.252726027397261,38
16,"Davidson, Garrett",Sinker,90.84238368616323,0.0995,85.32011785714285,2178.1689151428573,5.6565650000000005,-1.5375485714285715,4.9335957142857145,14.40336142857143,-9.340875714285714,-6.098240928571428,0.9411329285714286,-0.40675323874755925,-0.9485940508806249,2.6011596868884532,14
17,"Davidson, Garrett",Slider,92.106389837485,0.10866666666666665,82.20902333333333,2343.0029950000003,5.83682,-1.76176,4.39083,6.506240000000001,2.2620066666666667,-6.711825,1.7773320000000001,-3.517847762557082,-8.845715479452052,-9.001722694063927,3
18,"Ernisse, Zach",Four-Seam,101.14326060395862,0.2394736842105263,88.370145,2192.6152227894736,5.834185789473684,-0.7990207894736843,5.941274210526315,22.362355,-6.068985789473684,-4.634363684210526,0.2073012105263158,6.731457496674633e-15,-6.544472566211449e-16,-1.2855213969343918e-16,38
19,"Ernisse, Zach",Slider,101.69364209594517,0.25385714285714284,81.99253428571429,2355.464247642857,5.713890714285715,-1.1557857142857144,5.362308571428572,1.4516064285714287,5.936116428571429,-7.5235359285714285,2.2471356428571427,-6.377610714285708,-20.910748571428574,-12.005102218045112,14
20,"Gregson, Niccolas",Changeup,107.34032518500128,0.3406666666666667,78.63283333333334,1569.569381,5.436566666666667,1.73304,5.990083333333334,12.293536666666668,13.503643333333335,-6.915686333333333,-0.606961,-11.37208184652278,-6.797880815347722,7.187232973621104,3
21,"Gregson, Niccolas",Curveball,105.09314205473297,0.3195,75.75463049999999,2820.0496023,5.5102455,1.3901315,5.917033,-13.950309999999998,-7.1561685,-9.8093423,-2.5972806,-14.250284679856113,-33.041727482014394,-13.472578859712229,20
22,"Gregson, Niccolas",Cutter,96.45755965047798,0.154,88.26531,2439.928659,5.50332,1.52727,7.05358,16.3265,-2.68555,-5.853316,-2.328254,-1.7396051798561132,-2.76491748201439,-9.00196035971223,2
23,"Gregson, Niccolas",Four-Seam,98.7192339047156,0.20344029850746267,90.13479328358208,2262.576184641791,5.560915074626865,1.303195970149254,6.413108059701493,19.294427014925372,6.473086716417911,-4.750711425373134,-0.8369636940298508,0.1298781037259764,0.20300953291098414,0.1566763567056804,134
24,"Gregson, Niccolas",Sinker,91.82452318735155,0.105,87.83888,2084.373145,5.49376,1.20502,6.25768,16.1143,13.20627,-6.286205,0.974456,-2.1660351798561095,-2.977117482014389,6.88985964028777,1
25,"Gregson, Niccolas",Slider,108.41324369905124,0.37806666666666666,83.55264600000001,2441.767603133333,5.350665333333334,1.5313746666666668,6.070683333333333,6.376420666666666,-2.189928,-6.902475866666666,-2.7580322666666666,-6.452269179856112,-12.714996815347723,-8.50633835971223,15
26,"Hasegawa, Sam",Curveball,102.26989580146949,0.265375,78.4159225,2551.513483,5.79361375,-2.18561375,5.3168675,-8.4448225,10.4940175,-9.357524875,3.42901225,-11.27692441964286,-19.0914271875,-10.159251651785715,8
27,"Hasegawa, Sam",Cutter,99.4312724075447,0.21169318181818184,89.36771494318181,2392.7046021363635,5.848575340909091,-2.166548068181818,5.7990407954545455,10.134176193181817,1.3033127840909091,-6.183425994318182,2.6317793977272728,-0.3251319764610427,-0.5124284943181818,-0.9685469358766233,176
28,"Hasegawa, Sam",Four-Seam,95.9438808396123,0.15543835616438356,90.50717493150685,2408.3341037123287,5.873549589041096,-2.1055775342465752,5.888568219178082,13.044932328767125,-2.8556075342465754,-5.9311066027397255,1.910550383561644,0.8143280118639885,2.3983276412671235,3.190373382460861,73
29,"Hasegawa, Sam",Slider,102.69006259107215,0.26736507936507936,84.77520444444444,2503.169998015873,5.827017936507937,-2.3168580952380955,5.616058095238095,2.401897142857143,7.46369380952381,-7.389329952380952,3.514909682539683,-4.917642475198417,-8.244707544642857,-7.1289279613095236,63
30,"Huy, Nathan",Changeup,91.25120334324762,0.1,82.92607,1816.739218,6.01853,-0.5977,5.53245,10.78823,-5.4291,-6.854909,0.334852,-2.495087857142849,-0.7802299999999995,5.125629285714286,1
31,"Huy, Nathan",Curveball,95.42374566997559,0.14542857142857143,75.03607285714286,2275.9100714285714,5.602778571428572,-1.6033771428571428,4.5982199999999995,3.6096299999999997,11.863032857142857,-8.046268142857143,2.3959064285714287,-10.385084999999986,-7.95883,-12.166503571428573,7
32,"Huy, Nathan",Cutter,101.53128123441536,0.274,86.042356,1893.9290764000002,6.1149439999999995,-1.006353,5.210089,9.55488,0.794969,-7.2896703,1.3188595,0.6211981428571548,-2.0135799999999997,-1.0984397142857145,10
33,"Huy, Nathan",Four-Seam,92.29052883616446,0.11,84.18219333333333,1967.7842186666667,6.1691,-0.50331,5.499576666666667,18.54047,-2.256393333333333,-6.075744,0.45647366666666667,-1.2389645238095095,6.97201,1.9529226190476188,3
34,"Huy, Nathan",Slider,96.72032529040334,0.1799,76.59974,2245.5453098,5.593638,-1.9255520000000002,4.983364,2.565678,7.7890500000000005,-8.0274828,3.0576944,-8.821417857142848,-9.002782,-8.092520714285715,10
35,"King, Devon",Changeup,103.71938658605457,0.266,86.22997,1399.798988,5.65217,1.00321,5.23657,4.56292,12.95898,-7.442766,0.730016,-3.9783686000000102,-13.401620199999998,3.0676056000000003,1
36,"King, Devon",Curveball,100.6646653351499,0.24509090909090905,77.32575181818181,2741.185046818182,5.2805136363636365,1.3612527272727273,5.212278181818181,-6.500630909090909,-16.975122727272726,-8.724037090909091,-3.1273640909090905,-12.882586781818189,-24.465171109090907,-26.866497127272726,11
37,"King, Devon",Cutter,101.95744121183871,0.23975,84.62107916666666,2611.573269,5.555278333333334,1.0206708333333332,5.308655000000001,14.206198333333333,-0.8869958333333333,-5.575271833333333,-1.7920395000000002,-5.587259433333336,-3.7583418666666653,-10.778370233333334,12
38,"King, Devon",Four-Seam,98.04872097719777,0.19015555555555558,90.55835400000001,2411.435035711111,5.514488888888889,1.1372555555555555,5.635058,18.543804666666666,10.584776222222223,-4.7323967555555555,-0.35034775555555553,0.3500153999999968,0.5792644666666682,0.693401822222222,45
39,"King, Devon",Sinker,92.28672931668707,0.11066666666666668,90.05382666666667,2436.294588,5.489836666666666,1.2283366666666666,5.785396666666666,15.792513333333334,14.563,-4.976426333333333,0.275731,-0.1545119333333389,-2.172026866666665,4.6716256,3
40,"King, Devon",Slider,104.33385295799225,0.2884418604651163,82.62076360465116,2665.3169560697675,5.533122906976744,1.1133531395348837,5.223119302325582,7.679011162790697,-5.553659883720931,-6.487130302325581,-2.0708137674418605,-7.5875749953488425,-10.285529037209301,-15.445034283720931,86
41,"Marchetti, Landon",Changeup,107.27298721745113,0.3600714285714286,78.25615071428571,1701.5797815714286,5.156337142857143,-2.382530714285714,6.1196657142857145,11.372942857142858,-15.63895642857143,-6.901805785714286,0.35594157142857147,-8.3348679953917,-8.045065368663597,6.78424900921659,14
42,"Marchetti, Landon",Curveball,99.07215481110295,0.21862499999999999,73.37564916666666,2311.739344291667,5.2667529166666665,-2.3851079166666667,5.37822,-7.063411666666667,10.707350416666666,-8.632792916666666,3.7368742083333335,-13.21536954301075,-26.481419892473117,-19.562057836021506,24
43,"Marchetti, Landon",Cutter,100.3847437923202,0.20950000000000002,84.61049,1981.99079,5.38062,-2.43722,6.16811,15.40115,-1.06661,-4.686755,2.305619,-1.9805287096774151,-4.016858225806454,-7.7880974193548385,2
44,"Marchetti, Landon",Four-Seam,97.80147624177069,0.19380357142857144,86.79519714285713,2223.781121857143,5.395153035714286,-2.275759285714286,6.0585998214285715,19.813140714285712,-8.919579285714287,-4.833227928571428,1.50414475,0.20417843317972867,0.39513248847926147,0.06487186635944746,56
45,"Marchetti, Landon",Sinker,89.34439647348744,0.08700000000000001,84.81347,2183.250797666667,5.248996666666667,-2.421046666666667,6.028046666666666,16.27309,-10.962173333333334,-5.3805993333333335,0.682658,-1.7775487096774139,-3.144918225806453,2.1074659139784955,3
46,"Murdock, Steele",Changeup,106.38561493880124,0.3380925925925926,86.66748018518518,1830.5703345555555,5.996093888888889,1.745115,6.299419444444445,8.193520185185186,15.81607462962963,-7.09346512962963,0.10139551851851852,-6.715120524034673,-8.904765063041767,8.56169853033885,54
47,"Murdock, Steele",Curveball,104.92977515102771,0.289,82.36753,2265.753018,5.89709,1.58814,5.38218,-5.73311,-8.92934,-9.169796,-1.881309,-11.015070709219856,-22.83139524822695,-16.18371609929078,1
48,"Murdock, Steele",Four-Seam,96.70803619688047,0.17449275362318842,93.48393485507246,2385.213129710145,6.036197608695653,1.5217914492753621,6.568467971014493,17.284300579710145,7.187335434782609,-5.232236688405798,-1.0195350144927535,0.10133414585260558,0.1860153314831942,-0.06704066450817103,138
49,"Murdock, Steele",Sinker,103.00109010897052,0.2637,87.24793199999999,1966.5829059,5.9675579999999995,1.4684110000000001,6.3243339999999995,11.829035000000001,15.371475999999998,-6.7979411999999995,-0.5598240000000001,-6.134668709219861,-5.269250248226951,8.117099900709219,10
50,"Murdock, Steele",Slider,110.38349885657378,0.407941605839416,85.10041233576642,2287.998523211679,5.96281401459854,1.6360527737226278,5.923779562043796,1.164332700729927,-3.4291469343065697,-7.945587810218979,-2.316999503649635,-8.282188373453435,-15.933952547497022,-10.68352303359735,137
51,"Nickerson, Trevor",Curveball,95.09725043739799,0.1568888888888889,74.71262888888889,2060.1349945555553,5.696723333333334,1.60469,5.615802222222222,0.3197288888888889,-6.457275555555556,-8.207135666666666,-2.6605849999999998,-12.297810861111115,-17.94004486111111,-11.161910305555557,9
52,"Nickerson, Trevor",Four-Seam,96.14710663736138,0.15955263157894736,87.02550500000001,2044.3522348947367,5.689362105263158,1.26402,5.821623157894737,18.56371710526316,5.263382894736843,-5.113700473684211,-1.0926589736842105,0.015065249999998505,0.3039433552631569,0.5587481447368418,38
53,"Nickerson, Trevor",Sinker,91.24651387859916,0.1,86.7242,2143.277975,5.88915,-1.05483,6.1783,12.48485,-5.91158,-6.205447,0.006378,-0.2862397500000071,-5.774923750000001,-10.616214750000001,2
54,"Nickerson, Trevor",Slider,104.50471444049258,0.3282,79.424748,2061.6670068,5.718654,1.461622,5.718202,5.822436000000001,-3.997498,-7.964176400000001,-2.0175722,-7.585691750000007,-12.437337750000001,-8.70213275,5
55,"Patterson, Garrett",Sinker,92.35414121667444,0.11624999999999999,88.6278525,2166.4573425,5.47686,0.8268275,5.84427,14.7557925,16.501555,-5.13017725,0.37141875,0.0,-4.440892098500626e-16,0.0,8
56,"Patterson, Garrett",Slider,100.1948075152303,0.206,79.05138,2414.885356,4.76651,1.01561,5.0595,4.68544,-6.99855,-6.794939,-1.975314,-9.576472500000008,-10.0703525,-23.500104999999998,1
57,"Pelzman, Harry",Changeup,93.30950701989715,0.134,83.17954,1759.29611,5.73365,-1.44971,5.659665,10.27347,-17.368475,-6.772481,0.1342885,-3.9486513333333377,-5.417135555555554,8.641075,2
58,"Pelzman, Harry",Curveball,99.09304513881362,0.22666666666666668,77.15599333333334,1803.4398893333334,5.697018333333333,-1.3271316666666666,5.531963333333334,0.853635,7.21352,-8.3356625,2.2020473333333332,-9.972198,-14.836970555555553,-15.940919999999998,6
59,"Pelzman, Harry",Cutter,98.4596040136796,0.181,85.467405,2128.7903635000002,5.79738,-1.349345,6.128385,12.444234999999999,-3.556225,-6.311828,2.385764,-1.6607863333333341,-3.2463705555555533,-5.171175,4
60,"Pelzman, Harry",Four-Seam,93.35190319165555,0.13813793103448277,87.2426172413793,2135.1353165172413,5.824740344827586,-1.2297910344827587,6.080487931034482,17.033798965517242,-8.025786206896552,-5.547799379310344,0.8542813448275862,0.11442590804597624,1.3431934099616878,-0.7016137931034476,29
61,"Pelzman, Harry",Sinker,89.99646017045966,0.0950909090909091,87.47421363636364,2055.5682315454546,5.822031818181818,-1.1974636363636364,6.028987272727273,13.429854545454544,-11.62129,-6.293433363636364,0.5904193636363636,0.34602230303030335,-2.2607510101010075,2.8938900000000003,11
62,"Pelzman, Harry",Slider,105.05764838579367,0.3136,77.843564,1839.4213154000001,5.768642,-1.273134,5.524826,2.298174,2.71627,-8.5801146,1.8164757999999999,-9.28462733333333,-13.392431555555552,-11.443670000000001,5
63,"Rector, Trevor",Changeup,103.88086006472427,0.269,77.77851,1915.444822,6.10956,0.47228,4.90146,18.143,17.89194,-6.752598,0.547118,-9.502002500000003,1.954979999999999,5.775112500000002,1
64,"Rector, Trevor",Curveball,96.26047444507125,0.16699999999999998,77.88516,2332.8500894999997,5.938420000000001,0.45361,4.529935,-4.725005,-6.38288,-9.108291000000001,-0.488576,-9.395352500000001,-20.913025,-18.4997075,2
65,"Rector, Trevor",Four-Seam,90.41282035356573,0.09333333333333332,86.21042999999999,2223.1646993333334,6.02711,0.7517533333333333,5.318206666666667,16.663433333333334,11.046999999999999,-5.532540666666667,0.06832300000000002,-1.0700825000000027,0.4754133333333315,-1.0698274999999995,3
66,"Rector, Trevor",Sinker,97.46150559599069,0.17266666666666666,89.015,2273.9777116666664,6.038356666666668,0.2952033333333333,5.271353333333333,14.963973333333334,15.875586666666669,-6.184552,1.7891190000000001,1.7344875000000002,-1.2240466666666687,3.7587591666666675,3
67,"Remmers, Ethan",Changeup,94.86137635929659,0.15645121951219512,83.68917817073171,1772.159061792683,5.2918948780487804,-2.262401829268293,6.217584024390244,7.148508536585365,-15.44377243902439,-6.4111117073170725,0.754934,-2.3269071122871745,-3.045388444546708,-0.4106190704095713,82
68,"Remmers, Ethan",Curveball,107.8891488639383,0.3791875,73.28074125,2162.7204995,5.434390625,-2.582588125,5.92655875,-8.665870625,16.5364525,-9.574256,4.67868575,-12.73534403301888,-18.859767606132074,-32.39084400943396,16
69,"Remmers, Ethan",Four-Seam,94.60742493943019,0.13733333333333334,86.13772999999999,2098.4321243333334,6.00936,-0.6736299999999998,5.643843333333333,19.09736,-3.3530300000000004,-5.689574,0.16477300000000003,0.12164471698112322,8.903463018867926,-12.501361509433963,3
70,"Remmers, Ethan",Sinker,93.87754229834556,0.14366666666666666,86.79663222222221,1970.498573777778,5.389228888888889,-2.0987955555555557,6.109151111111111,12.575563333333333,-15.914806666666667,-5.427891333333333,0.8181957777777779,0.780546939203341,2.3816663522012593,0.06041515723270526,9
71,"Remmers, Ethan",Slider,105.33526659710223,0.337,81.56100666666667,2244.0947306666662,5.84356,-1.19265,5.287753333333334,0.12965666666666667,7.15944,-8.104483666666667,2.164475,-4.4550786163522105,-10.064240314465406,-23.01383150943396,3
72,"Ries, Nathan",Changeup,104.43079502046699,0.31845833333333334,81.58294708333334,1743.7018534583333,5.739928333333332,1.1505345833333334,6.430228333333333,12.846451666666667,11.57516125,-6.884541583333333,0.18631662499999999,-5.978148861111113,-5.353197388888891,7.707535361111112,24
73,"Ries, Nathan",Curveball,101.35422272797209,0.24532,74.2067292,2196.06412844,5.8562512,1.0264748,5.8949004,-6.610600000000001,-3.5257283999999998,-9.51013784,-1.3003288,-13.354366744444444,-24.81024905555556,-7.393354288888888,25
74,"Ries, Nathan",Four-Seam,97.34661483851417,0.18460233918128655,87.59775093567252,1984.1210638654968,5.70859649122807,1.2103222807017544,6.5421283625730995,18.343629532163742,3.7596877777777777,-5.035968029239766,-1.1475258771929824,0.03665499122806855,0.14398047660818525,-0.10793811111111078,171
75,"Ries, Nathan",Slider,100.42339596700377,0.2359473684210526,79.75515947368422,2019.7845005789477,5.743036842105263,1.2490252631578949,6.042408421052631,3.9067584210526314,-2.7959799999999997,-7.509647263157895,-1.9340506315789476,-7.805936470760234,-14.292890634502927,-6.663605888888888,19
76,"Seid, Spencer",Changeup,97.91010157074436,0.18801694915254238,82.62859169491526,1777.2839473559322,4.892787288135593,-2.155681186440678,5.613977288135593,11.706151355932203,-12.63993186440678,-5.801136593220339,0.8514002033898305,-5.557941074315525,-7.279826720990872,-2.1304361740547577,59
77,"Seid, Spencer",Curveball,100.50562856050314,0.2352,74.6915105,2214.6627209999997,4.953965500000001,-2.2056535,5.111082,0.21405100000000005,11.373537,-7.7423203,3.5690371999999995,-13.495022269230782,-18.771927076923074,-26.143905038461536,20
78,"Seid, Spencer",Cutter,100.52711174962934,0.21375,82.81380250000001,2161.701759,4.7721525,-2.31357,5.2072725,11.738215,-1.8010950000000001,-5.0203265,2.3144925,-5.372730269230779,-7.247763076923075,-12.969273038461537,4
79,"Seid, Spencer",Four-Seam,103.22110052946337,0.27687323943661973,88.43877535211267,2054.7598459295773,4.864258873239436,-2.143658028169014,5.710237605633803,19.99614352112676,-11.570696901408452,-4.035398225352113,1.0140994929577465,0.25224258288189705,1.0101654442036854,-3.1996711370530866,71
80,"Seid, Spencer",Sinker,101.54837974145686,0.24556140350877192,88.29014192982456,2067.150865152047,4.802901929824562,-2.1645861988304094,5.618280643274854,18.568415730994154,-15.840181929824563,-4.216952257309941,0.4882306900584795,0.10360916059378066,-0.4175623459289232,1.069813891363024,171
81,"Seid, Spencer",Slider,99.04207043606256,0.19291836734693876,80.18396591836735,2184.546532857143,4.898163265306122,-2.209404489795918,5.380724897959184,7.879864285714285,-0.004377142857142857,-6.279282959183673,2.6034722040816325,-8.002566850863433,-11.10611379120879,-14.765990895604395,49
82,"Villar, Jake",Changeup,98.90856294981373,0.20903157894736843,80.39253663157895,1752.7742196631577,5.456170842105263,-2.717700315789474,5.599600315789474,8.699397368421053,-10.901911578947367,-6.901255305263158,1.3883261684210526,-5.395568720533719,-3.9271062231282436,4.325162001482579,95
83,"Villar, Jake",Curveball,112.77582016001642,0.46224999999999994,77.967783,2029.1681389500002,5.7082825,-2.4598005,4.8555155,-5.381062999999999,10.353529,-9.416367099999999,3.87305625,-7.820322352112666,-18.007566591549296,-16.930278577464787,20
84,"Villar, Jake",Cutter,93.0839065511747,0.12415384615384614,86.17700769230768,2152.9229447307694,5.881768846153847,-2.3747996153846156,5.697687692307692,10.001661923076922,-3.861300384615385,-6.069502115384615,1.7023338461538462,0.3889023401950273,-2.624841668472373,-2.7154491928494036,26
85,"Villar, Jake",Four-Seam,95.5632369328458,0.1479607843137255,86.19431509803921,2203.3483043333335,5.87522431372549,-2.3461811764705884,5.482259607843137,16.979849019607844,-4.9268190196078425,-5.913084333333333,2.2271529019607845,0.40620974592655007,4.353345428058547,-1.6499305578569454,51
86,"Villar, Jake",Sinker,91.21492166732654,0.10644897959183675,85.61159183673469,2159.4791342040817,5.852941020408163,-2.3893353061224487,5.645338163265307,11.79384836734694,-8.419985918367347,-6.378576734693877,1.3220727551020408,-0.17651351537797288,-0.8326552242023573,1.8432363409025585,49
87,"Villar, Jake",Slider,102.15713862217954,0.27545454545454545,79.42047204545455,2272.259685909091,5.642381704545454,-2.5732179545454548,4.957972159090909,0.5658834090909092,8.921138181818181,-8.012540363636363,3.6181784431818182,-6.36763330665812,-12.060620182458388,-15.49788775928297,88
88,"Weber, Chapman",Curveball,95.1686010826514,0.1514,77.95239000000001,2277.0333814,5.887466,1.44687,4.692956000000001,-3.6193799999999996,-5.389152,-8.328582,-2.1762382,-11.8882158108108,-27.340894864864868,-15.606647337837837,5
89,"Weber, Chapman",Four-Seam,100.66033479567562,0.2290896551724138,89.84222862068965,2261.541390710345,6.364247172413793,0.7315426206896551,5.169075172413793,23.76500068965517,10.100424689655172,-5.025637875862069,0.1356446896551724,0.0016228098788555543,0.04348582479030732,-0.11707064818266488,145
90,"Weber, Chapman",Sinker,92.58716622399628,0.112,89.76217000000001,2134.425325,6.41535,0.89635,5.09798,21.619700000000005,15.87591,-6.00939,0.8087050000000001,-0.07843581081080231,-2.1018148648648634,5.658414662162162,3
91,"Weber, Chapman",Slider,97.81991074156939,0.192,80.19565454545454,2350.188219181818,5.935164545454546,1.3002127272727273,4.8467827272727275,0.7029663636363637,-3.828451818181818,-7.843453454545454,-2.0904279999999997,-9.644951265356253,-23.0185485012285,-14.045947156019656,11
